State,Year,Quarter,District,Insurance_Count,Insurance_Amount
andaman-&-nicobar-islands,2020,2,south andaman,3,795.0
andaman-&-nicobar-islands,2020,2,nicobars,3,565.0
andaman-&-nicobar-islands,2020,3,north and middle andaman,1,281.0
andaman-&-nicobar-islands,2020,3,south andaman,35,13651.0
andaman-&-nicobar-islands,2020,3,nicobars,5,1448.0
andaman-&-nicobar-islands,2020,4,north and middle andaman,13,17734.0
andaman-&-nicobar-islands,2020,4,south andaman,109,137494.0
andaman-&-nicobar-islands,2020,4,nicobars,2,2747.0
andaman-&-nicobar-islands,2021,1,north and middle andaman,48,63978.0
andaman-&-nicobar-islands,2021,1,south andaman,164,167044.0
andaman-&-nicobar-islands,2021,1,nicobars,13,13244.0
andaman-&-nicobar-islands,2021,2,north and middle andaman,28,45311.0
andaman-&-nicobar-islands,2021,2,south andaman,105,121104.0
andaman-&-nicobar-islands,2021,2,nicobars,4,15089.0
andaman-&-nicobar-islands,2021,3,north and middle andaman,33,50997.0
andaman-&-nicobar-islands,2021,3,south andaman,182,223699.0
andaman-&-nicobar-islands,2021,3,nicobars,15,30539.0
andaman-&-nicobar-islands,2021,4,north and middle andaman,81,182061.0
andaman-&-nicobar-islands,2021,4,south andaman,632,800758.0
andaman-&-nicobar-islands,2021,4,nicobars,44,73561.0
andaman-&-nicobar-islands,2022,1,north and middle andaman,48,85229.0
andaman-&-nicobar-islands,2022,1,south andaman,692,982206.0
andaman-&-nicobar-islands,2022,1,nicobars,28,63852.0
andaman-&-nicobar-islands,2022,2,north and middle andaman,45,90403.0
andaman-&-nicobar-islands,2022,2,south andaman,430,633029.0
andaman-&-nicobar-islands,2022,2,nicobars,26,56308.0
andaman-&-nicobar-islands,2022,3,north and middle andaman,70,129013.0
andaman-&-nicobar-islands,2022,3,south andaman,535,687813.0
andaman-&-nicobar-islands,2022,3,nicobars,38,85640.0
andaman-&-nicobar-islands,2022,4,north and middle andaman,112,224198.0
andaman-&-nicobar-islands,2022,4,south andaman,750,1114857.0
andaman-&-nicobar-islands,2022,4,nicobars,39,102155.0
andaman-&-nicobar-islands,2023,1,north and middle andaman,85,178969.0
andaman-&-nicobar-islands,2023,1,south andaman,872,1172083.0
andaman-&-nicobar-islands,2023,1,nicobars,47,88146.0
andaman-&-nicobar-islands,2023,2,north and middle andaman,56,109742.0
andaman-&-nicobar-islands,2023,2,south andaman,670,1060976.0
andaman-&-nicobar-islands,2023,2,nicobars,42,62677.0
andaman-&-nicobar-islands,2023,3,north and middle andaman,77,133536.0
andaman-&-nicobar-islands,2023,3,south andaman,682,1052324.0
andaman-&-nicobar-islands,2023,3,nicobars,36,65285.0
andaman-&-nicobar-islands,2023,4,north and middle andaman,95,156995.0
andaman-&-nicobar-islands,2023,4,south andaman,1006,1504528.0
andaman-&-nicobar-islands,2023,4,nicobars,44,96298.0
andaman-&-nicobar-islands,2024,1,north and middle andaman,125,229226.0
andaman-&-nicobar-islands,2024,1,south andaman,1190,1657627.0
andaman-&-nicobar-islands,2024,1,nicobars,56,77703.0
andaman-&-nicobar-islands,2024,2,north and middle andaman,74,164686.0
andaman-&-nicobar-islands,2024,2,south andaman,974,1513489.0
andaman-&-nicobar-islands,2024,2,nicobars,49,66519.0
andaman-&-nicobar-islands,2024,3,north and middle andaman,95,151791.0
andaman-&-nicobar-islands,2024,3,south andaman,1044,1530179.0
andaman-&-nicobar-islands,2024,3,nicobar,51,68638.0
andaman-&-nicobar-islands,2024,3,nicobars,1,2192.0
andaman-&-nicobar-islands,2024,4,north and middle andaman,131,219770.0
andaman-&-nicobar-islands,2024,4,south andaman,1085,1670015.0
andaman-&-nicobar-islands,2024,4,nicobar,77,136595.0
andhra-pradesh,2020,2,east godavari,1913,352220.0
andhra-pradesh,2020,2,srikakulam,536,107046.0
andhra-pradesh,2020,2,spsr nellore,931,176423.0
andhra-pradesh,2020,2,vizianagaram,893,166029.0
andhra-pradesh,2020,2,visakhapatnam,3504,614212.0
andhra-pradesh,2020,2,prakasam,847,161709.0
andhra-pradesh,2020,2,anantapur,2739,485777.0
andhra-pradesh,2020,2,ysr,1978,343002.0
andhra-pradesh,2020,2,west godavari,1074,202289.0
andhra-pradesh,2020,2,kurnool,825,158720.0
andhra-pradesh,2020,2,chittoor,2228,395099.0
andhra-pradesh,2020,2,guntur,1938,344326.0
andhra-pradesh,2020,2,krishna,2698,475539.0
andhra-pradesh,2020,3,east godavari,3783,970549.0
andhra-pradesh,2020,3,srikakulam,1535,383049.0
andhra-pradesh,2020,3,spsr nellore,5509,1259159.0
andhra-pradesh,2020,3,vizianagaram,2999,691281.0
andhra-pradesh,2020,3,visakhapatnam,7906,1892376.0
andhra-pradesh,2020,3,prakasam,2565,722751.0
andhra-pradesh,2020,3,anantapur,2911,764850.0
andhra-pradesh,2020,3,ysr,3397,847519.0
andhra-pradesh,2020,3,west godavari,2543,696749.0
andhra-pradesh,2020,3,kurnool,3493,841970.0
andhra-pradesh,2020,3,chittoor,4422,1178762.0
andhra-pradesh,2020,3,guntur,4230,1083584.0
andhra-pradesh,2020,3,krishna,4519,1093882.0
andhra-pradesh,2020,4,east godavari,1965,1355741.0
andhra-pradesh,2020,4,srikakulam,811,546440.0
andhra-pradesh,2020,4,spsr nellore,1348,810758.0
andhra-pradesh,2020,4,vizianagaram,897,651040.0
andhra-pradesh,2020,4,visakhapatnam,3464,2203761.0
andhra-pradesh,2020,4,prakasam,1190,572976.0
andhra-pradesh,2020,4,anantapur,1534,794053.0
andhra-pradesh,2020,4,ysr,1165,631876.0
andhra-pradesh,2020,4,west godavari,1390,906282.0
andhra-pradesh,2020,4,kurnool,1092,500768.0
andhra-pradesh,2020,4,chittoor,1727,1168506.0
andhra-pradesh,2020,4,guntur,2570,1620649.0
andhra-pradesh,2020,4,krishna,2311,1222782.0
andhra-pradesh,2021,1,east godavari,1937,1065604.0
andhra-pradesh,2021,1,srikakulam,854,588769.0
andhra-pradesh,2021,1,spsr nellore,1323,714947.0
andhra-pradesh,2021,1,vizianagaram,781,526804.0
andhra-pradesh,2021,1,visakhapatnam,4006,2403199.0
andhra-pradesh,2021,1,prakasam,1182,585354.0
andhra-pradesh,2021,1,anantapur,1264,621128.0
andhra-pradesh,2021,1,ysr,1265,729565.0
andhra-pradesh,2021,1,west godavari,1460,850251.0
andhra-pradesh,2021,1,kurnool,1270,508161.0
andhra-pradesh,2021,1,chittoor,1629,1058050.0
